input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_224.c	oracle	124	15.04	15.04	604232	CERB_SKIP
sa_csmith_224.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_225.c	oracle	0	0.04	0.04	49572	MATCH
sa_csmith_225.c	lean	0	0.06	0.05	84484	MATCH
sa_csmith_226.c	oracle	124	15.03	15.02	411048	CERB_SKIP
sa_csmith_226.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_227.c	oracle	124	15.04	15.04	576576	CERB_SKIP
sa_csmith_227.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_228.c	oracle	0	0.04	0.04	49420	MATCH
sa_csmith_228.c	lean	0	0.07	0.06	84200	MATCH
sa_csmith_229.c	oracle	124	15.04	15.04	569124	CERB_SKIP
sa_csmith_229.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_23.c	oracle	0	0.04	0.04	49284	MATCH
sa_csmith_23.c	lean	0	0.06	0.05	84724	MATCH
sa_csmith_230.c	oracle	0	0.04	0.03	50004	MATCH
sa_csmith_230.c	lean	0	0.07	0.06	84032	MATCH
sa_csmith_231.c	oracle	124	15.02	15.01	295056	CERB_SKIP
sa_csmith_231.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_232.c	oracle	124	15.05	15.04	651948	CERB_SKIP
sa_csmith_232.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_233.c	oracle	124	15.05	15.04	637236	CERB_SKIP
sa_csmith_233.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_234.c	oracle	0	0.09	0.08	63448	MATCH
sa_csmith_234.c	lean	0	0.21	0.21	103956	MATCH
sa_csmith_235.c	oracle	124	15.05	15.04	684292	CERB_SKIP
sa_csmith_235.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_236.c	oracle	124	15.05	15.04	655260	CERB_SKIP
sa_csmith_236.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_237.c	oracle	124	15.04	15.03	626024	CERB_SKIP
sa_csmith_237.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_238.c	oracle	124	15.05	15.04	665212	CERB_SKIP
sa_csmith_238.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_239.c	oracle	0	0.13	0.13	68296	MATCH
sa_csmith_239.c	lean	0	0.41	0.40	110288	MATCH
sa_csmith_24.c	oracle	124	15.04	15.03	518520	CERB_SKIP
sa_csmith_24.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_240.c	oracle	0	0.04	0.03	50032	MATCH
sa_csmith_240.c	lean	0	0.07	0.06	84488	MATCH
sa_csmith_241.c	oracle	0	0.04	0.04	49152	MATCH
sa_csmith_241.c	lean	0	0.07	0.06	84812	MATCH
sa_csmith_242.c	oracle	0	0.09	0.08	66124	MATCH
sa_csmith_242.c	lean	0	0.19	0.19	109020	MATCH
sa_csmith_243.c	oracle	0	0.04	0.03	49016	MATCH
sa_csmith_243.c	lean	0	0.06	0.05	84016	MATCH
sa_csmith_244.c	oracle	124	15.05	15.03	652676	CERB_SKIP
sa_csmith_244.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_245.c	oracle	0	0.04	0.03	49692	MATCH
sa_csmith_245.c	lean	0	0.07	0.06	85636	MATCH
sa_csmith_246.c	oracle	124	15.04	15.04	625504	CERB_SKIP
sa_csmith_246.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_247.c	oracle	0	0.11	0.11	74232	MATCH
sa_csmith_247.c	lean	0	0.34	0.34	120140	MATCH
sa_csmith_248.c	oracle	124	15.04	15.03	600428	CERB_SKIP
sa_csmith_248.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_249.c	oracle	0	0.09	0.09	67620	MATCH
sa_csmith_249.c	lean	0	0.22	0.21	112548	MATCH
sa_csmith_25.c	oracle	0	0.47	0.46	82784	MATCH
sa_csmith_25.c	lean	0	1.81	1.80	115260	MATCH
sa_csmith_250.c	oracle	0	0.04	0.03	49440	MATCH
sa_csmith_250.c	lean	0	0.06	0.05	84348	MATCH
sa_csmith_251.c	oracle	124	15.04	15.03	630036	CERB_SKIP
sa_csmith_251.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_252.c	oracle	124	15.04	15.04	608160	CERB_SKIP
sa_csmith_252.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_253.c	oracle	124	15.05	15.04	671736	CERB_SKIP
sa_csmith_253.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_254.c	oracle	0	0.04	0.04	49380	MATCH
sa_csmith_254.c	lean	0	0.06	0.05	84832	MATCH
sa_csmith_255.c	oracle	124	15.05	15.04	689036	CERB_SKIP
sa_csmith_255.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_256.c	oracle	124	15.05	15.05	695772	CERB_SKIP
sa_csmith_256.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_257.c	oracle	124	15.04	15.03	557276	CERB_SKIP
sa_csmith_257.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_258.c	oracle	124	15.04	15.04	663892	CERB_SKIP
sa_csmith_258.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_259.c	oracle	124	15.04	15.04	598064	CERB_SKIP
sa_csmith_259.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_26.c	oracle	124	15.04	15.03	564276	CERB_SKIP
sa_csmith_26.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_260.c	oracle	124	15.05	15.04	660556	CERB_SKIP
sa_csmith_260.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_261.c	oracle	0	0.04	0.03	48456	MATCH
sa_csmith_261.c	lean	0	0.06	0.05	85324	MATCH
sa_csmith_262.c	oracle	0	0.10	0.10	68232	MATCH
sa_csmith_262.c	lean	0	0.25	0.25	111716	MATCH
sa_csmith_263.c	oracle	0	0.04	0.03	49468	MATCH
sa_csmith_263.c	lean	0	0.07	0.06	85428	MATCH
sa_csmith_264.c	oracle	124	15.04	15.03	628284	CERB_SKIP
sa_csmith_264.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_265.c	oracle	124	15.04	15.03	639800	CERB_SKIP
sa_csmith_265.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_266.c	oracle	0	0.05	0.04	49016	MATCH
sa_csmith_266.c	lean	0	0.07	0.07	84388	MATCH
sa_csmith_267.c	oracle	124	15.04	15.03	539680	CERB_SKIP
sa_csmith_267.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_268.c	oracle	0	0.07	0.07	57508	MATCH
sa_csmith_268.c	lean	0	0.16	0.15	97352	MATCH
sa_csmith_269.c	oracle	124	15.02	15.01	279828	CERB_SKIP
sa_csmith_269.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_27.c	oracle	124	15.05	15.04	673320	CERB_SKIP
sa_csmith_27.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_270.c	oracle	0	0.05	0.04	49784	MATCH
sa_csmith_270.c	lean	0	0.08	0.07	86480	MATCH
sa_csmith_271.c	oracle	0	0.09	0.09	64280	MATCH
sa_csmith_271.c	lean	0	0.21	0.20	106764	MATCH
sa_csmith_272.c	oracle	0	1.90	1.90	119924	MATCH
sa_csmith_272.c	lean	0	5.64	5.63	133344	MATCH
sa_csmith_273.c	oracle	0	0.04	0.03	49324	MATCH
sa_csmith_273.c	lean	0	0.06	0.06	83832	MATCH
sa_csmith_274.c	oracle	0	0.04	0.04	48536	MATCH
sa_csmith_274.c	lean	0	0.07	0.06	83624	MATCH
sa_csmith_275.c	oracle	124	15.05	15.04	664276	CERB_SKIP
sa_csmith_275.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_276.c	oracle	124	15.05	15.04	644268	CERB_SKIP
sa_csmith_276.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_277.c	oracle	0	0.05	0.05	50112	MATCH
sa_csmith_277.c	lean	0	0.09	0.08	87440	MATCH
sa_csmith_278.c	oracle	0	0.04	0.03	49824	MATCH
