input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_143.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_144.c	oracle	0	0.04	0.04	48300	MATCH
sa_csmith_144.c	lean	0	0.07	0.07	87232	MATCH
sa_csmith_145.c	oracle	0	0.04	0.03	49492	MATCH
sa_csmith_145.c	lean	0	0.07	0.06	88004	MATCH
sa_csmith_146.c	oracle	124	15.04	15.04	654300	CERB_SKIP
sa_csmith_146.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_147.c	oracle	0	0.08	0.08	62840	MATCH
sa_csmith_147.c	lean	0	0.18	0.18	109792	MATCH
sa_csmith_148.c	oracle	124	15.04	15.03	539068	CERB_SKIP
sa_csmith_148.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_149.c	oracle	0	0.22	0.21	72092	MATCH
sa_csmith_149.c	lean	0	0.52	0.51	119964	MATCH
sa_csmith_15.c	oracle	124	15.04	15.04	676548	CERB_SKIP
sa_csmith_15.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_150.c	oracle	0	0.04	0.04	48468	MATCH
sa_csmith_150.c	lean	0	0.07	0.06	87840	MATCH
sa_csmith_151.c	oracle	124	15.02	15.01	310456	CERB_SKIP
sa_csmith_151.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_152.c	oracle	124	15.03	15.02	469968	CERB_SKIP
sa_csmith_152.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_153.c	oracle	0	0.04	0.03	48632	MATCH
sa_csmith_153.c	lean	0	0.07	0.06	87220	MATCH
sa_csmith_154.c	oracle	0	0.04	0.04	48564	MATCH
sa_csmith_154.c	lean	0	0.07	0.06	87156	MATCH
sa_csmith_155.c	oracle	124	15.04	15.04	644984	CERB_SKIP
sa_csmith_155.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_156.c	oracle	124	15.04	15.04	608000	CERB_SKIP
sa_csmith_156.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_157.c	oracle	124	15.04	15.04	586304	CERB_SKIP
sa_csmith_157.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_158.c	oracle	124	15.03	15.02	491700	CERB_SKIP
sa_csmith_158.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_159.c	oracle	0	0.04	0.03	48928	MATCH
sa_csmith_159.c	lean	0	0.07	0.06	87224	MATCH
sa_csmith_16.c	oracle	124	15.04	15.03	619832	CERB_SKIP
sa_csmith_16.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_160.c	oracle	0	0.04	0.04	48904	MATCH
sa_csmith_160.c	lean	0	0.07	0.06	88000	MATCH
sa_csmith_161.c	oracle	124	15.04	15.04	633788	CERB_SKIP
sa_csmith_161.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_162.c	oracle	0	1.52	1.52	102340	MATCH
sa_csmith_162.c	lean	0	3.82	3.81	125464	MATCH
sa_csmith_163.c	oracle	124	15.04	15.04	639768	CERB_SKIP
sa_csmith_163.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_164.c	oracle	0	0.04	0.03	48696	MATCH
sa_csmith_164.c	lean	0	0.07	0.06	87480	MATCH
sa_csmith_165.c	oracle	124	15.05	15.05	682332	CERB_SKIP
sa_csmith_165.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_166.c	oracle	0	0.04	0.04	48728	MATCH
sa_csmith_166.c	lean	0	0.07	0.06	88192	MATCH
sa_csmith_167.c	oracle	0	0.04	0.03	48872	MATCH
sa_csmith_167.c	lean	0	0.07	0.06	87012	MATCH
sa_csmith_168.c	oracle	0	0.09	0.09	69608	MATCH
sa_csmith_168.c	lean	0	0.23	0.23	127848	MATCH
sa_csmith_169.c	oracle	124	15.05	15.03	645016	CERB_SKIP
sa_csmith_169.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_17.c	oracle	124	15.04	15.04	648912	CERB_SKIP
sa_csmith_17.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_170.c	oracle	0	0.04	0.03	49488	MATCH
sa_csmith_170.c	lean	0	0.07	0.06	87776	MATCH
sa_csmith_171.c	oracle	0	0.04	0.03	48984	MATCH
sa_csmith_171.c	lean	0	0.07	0.07	87544	MATCH
sa_csmith_172.c	oracle	0	0.08	0.08	60024	MATCH
sa_csmith_172.c	lean	0	0.16	0.16	105404	MATCH
sa_csmith_173.c	oracle	0	0.10	0.10	65472	MATCH
sa_csmith_173.c	lean	0	0.23	0.22	120644	MATCH
sa_csmith_174.c	oracle	0	0.35	0.35	63656	MATCH
sa_csmith_174.c	lean	0	0.95	0.94	90604	MATCH
sa_csmith_175.c	oracle	124	15.04	15.03	623960	CERB_SKIP
sa_csmith_175.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_176.c	oracle	0	0.09	0.09	63532	MATCH
sa_csmith_176.c	lean	0	0.21	0.21	114356	MATCH
sa_csmith_177.c	oracle	124	15.03	15.03	419488	CERB_SKIP
sa_csmith_177.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_178.c	oracle	0	0.04	0.03	49188	MATCH
sa_csmith_178.c	lean	0	0.07	0.06	86884	MATCH
sa_csmith_179.c	oracle	124	15.04	15.03	631816	CERB_SKIP
sa_csmith_179.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_18.c	oracle	124	15.04	15.04	649952	CERB_SKIP
sa_csmith_18.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_180.c	oracle	0	0.47	0.47	81100	MATCH
sa_csmith_180.c	lean	0	1.20	1.20	125540	MATCH
sa_csmith_181.c	oracle	124	15.03	15.02	484128	CERB_SKIP
sa_csmith_181.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_182.c	oracle	0	0.39	0.38	79228	MATCH
sa_csmith_182.c	lean	0	0.95	0.94	123880	MATCH
sa_csmith_183.c	oracle	0	0.48	0.47	90004	MATCH
sa_csmith_183.c	lean	0	1.21	1.20	139584	MATCH
sa_csmith_184.c	oracle	124	15.04	15.04	670532	CERB_SKIP
sa_csmith_184.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_185.c	oracle	124	15.03	15.02	517304	CERB_SKIP
sa_csmith_185.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_186.c	oracle	124	15.04	15.03	630472	CERB_SKIP
sa_csmith_186.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_187.c	oracle	124	15.05	15.04	683612	CERB_SKIP
sa_csmith_187.c	lean	NA	NA	NA	NA	CERB_SKIP
