input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_148.c	oracle	124	15.04	15.03	414716	CERB_SKIP
sa_csmith_148.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_149.c	oracle	0	0.28	0.27	72136	MATCH
sa_csmith_149.c	lean	0	0.73	0.72	109532	MATCH
sa_csmith_15.c	oracle	124	15.06	15.04	506872	CERB_SKIP
sa_csmith_15.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_150.c	oracle	0	0.06	0.06	47736	MATCH
sa_csmith_150.c	lean	0	0.09	0.08	83568	MATCH
sa_csmith_151.c	oracle	124	15.02	15.01	250780	CERB_SKIP
sa_csmith_151.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_152.c	oracle	124	15.03	15.02	356288	CERB_SKIP
sa_csmith_152.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_153.c	oracle	0	0.06	0.06	48064	MATCH
sa_csmith_153.c	lean	0	0.07	0.07	80696	MATCH
sa_csmith_154.c	oracle	0	0.05	0.05	47868	MATCH
sa_csmith_154.c	lean	0	0.08	0.07	84428	MATCH
sa_csmith_155.c	oracle	124	15.05	15.04	485832	CERB_SKIP
sa_csmith_155.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_156.c	oracle	124	15.04	15.02	461992	CERB_SKIP
sa_csmith_156.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_157.c	oracle	124	15.04	14.84	424024	CERB_SKIP
sa_csmith_157.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_158.c	oracle	124	15.03	15.00	372312	CERB_SKIP
sa_csmith_158.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_159.c	oracle	0	0.06	0.05	48220	MATCH
sa_csmith_159.c	lean	0	0.08	0.08	82892	MATCH
sa_csmith_16.c	oracle	124	15.05	15.04	472956	CERB_SKIP
sa_csmith_16.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_160.c	oracle	0	0.07	0.06	47576	MATCH
sa_csmith_160.c	lean	0	0.09	0.09	83524	MATCH
sa_csmith_161.c	oracle	124	15.04	15.02	490728	CERB_SKIP
sa_csmith_161.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_162.c	oracle	0	1.89	1.88	99144	MATCH
sa_csmith_162.c	lean	0	5.26	5.25	118220	MATCH
sa_csmith_163.c	oracle	124	15.05	15.03	490588	CERB_SKIP
sa_csmith_163.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_164.c	oracle	0	0.05	0.04	48284	MATCH
sa_csmith_164.c	lean	0	0.10	0.09	83836	MATCH
sa_csmith_165.c	oracle	124	15.05	15.03	499180	CERB_SKIP
sa_csmith_165.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_166.c	oracle	0	0.06	0.05	48312	MATCH
sa_csmith_166.c	lean	0	0.09	0.09	83412	MATCH
sa_csmith_167.c	oracle	0	0.07	0.06	47300	MATCH
sa_csmith_167.c	lean	0	0.10	0.10	82960	MATCH
sa_csmith_168.c	oracle	0	0.14	0.14	67076	MATCH
sa_csmith_168.c	lean	0	0.29	0.29	113796	MATCH
sa_csmith_169.c	oracle	124	15.05	15.03	497664	CERB_SKIP
sa_csmith_169.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_17.c	oracle	124	15.04	15.02	461532	CERB_SKIP
sa_csmith_17.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_170.c	oracle	0	0.06	0.05	47848	MATCH
sa_csmith_170.c	lean	0	0.09	0.08	81540	MATCH
sa_csmith_171.c	oracle	0	0.07	0.06	48224	MATCH
sa_csmith_171.c	lean	0	0.10	0.10	83904	MATCH
sa_csmith_172.c	oracle	0	0.12	0.11	57168	MATCH
sa_csmith_172.c	lean	0	0.24	0.23	102944	MATCH
sa_csmith_173.c	oracle	0	0.16	0.16	62512	MATCH
sa_csmith_173.c	lean	0	0.32	0.32	107616	MATCH
sa_csmith_174.c	oracle	0	0.48	0.48	61756	MATCH
sa_csmith_174.c	lean	0	1.42	1.42	86832	MATCH
sa_csmith_175.c	oracle	124	15.05	15.02	433912	CERB_SKIP
sa_csmith_175.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_176.c	oracle	0	0.13	0.13	62736	MATCH
sa_csmith_176.c	lean	0	0.28	0.28	105436	MATCH
sa_csmith_177.c	oracle	124	15.03	15.01	315252	CERB_SKIP
sa_csmith_177.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_178.c	oracle	0	0.05	0.04	47660	MATCH
sa_csmith_178.c	lean	0	0.08	0.08	83516	MATCH
sa_csmith_179.c	oracle	124	15.04	15.04	620764	CERB_SKIP
sa_csmith_179.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_18.c	oracle	124	15.04	15.04	643364	CERB_SKIP
sa_csmith_18.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_180.c	oracle	0	0.48	0.47	80876	MATCH
sa_csmith_180.c	lean	0	1.25	1.25	114588	MATCH
sa_csmith_181.c	oracle	124	15.03	15.02	480632	CERB_SKIP
sa_csmith_181.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_182.c	oracle	0	0.39	0.38	78224	MATCH
sa_csmith_182.c	lean	0	1.02	1.02	109900	MATCH
sa_csmith_183.c	oracle	0	0.55	0.54	88780	MATCH
sa_csmith_183.c	lean	0	1.37	1.37	124376	MATCH
sa_csmith_184.c	oracle	124	15.04	15.03	588960	CERB_SKIP
sa_csmith_184.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_185.c	oracle	124	15.03	15.02	481980	CERB_SKIP
sa_csmith_185.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_186.c	oracle	124	15.05	15.04	583024	CERB_SKIP
sa_csmith_186.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_187.c	oracle	124	15.05	15.04	638604	CERB_SKIP
sa_csmith_187.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_188.c	oracle	124	15.04	15.04	610732	CERB_SKIP
sa_csmith_188.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_189.c	oracle	0	0.05	0.04	48688	MATCH
sa_csmith_189.c	lean	0	0.08	0.07	83584	MATCH
sa_csmith_19.c	oracle	0	0.09	0.09	63936	MATCH
sa_csmith_19.c	lean	0	0.21	0.20	106776	MATCH
sa_csmith_190.c	oracle	124	15.04	14.66	557036	CERB_SKIP
sa_csmith_190.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_191.c	oracle	0	0.04	0.04	48424	MATCH
sa_csmith_191.c	lean	0	0.07	0.06	84264	MATCH
