input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_421.c	oracle	124	15.04	15.04	543616	CERB_SKIP
sa_csmith_421.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_422.c	oracle	0	0.04	0.04	48540	MATCH
sa_csmith_422.c	lean	0	0.07	0.06	81332	MATCH
sa_csmith_423.c	oracle	124	15.04	15.03	575608	CERB_SKIP
sa_csmith_423.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_424.c	oracle	0	0.05	0.04	48712	MATCH
sa_csmith_424.c	lean	0	0.07	0.06	81908	MATCH
sa_csmith_425.c	oracle	124	15.05	15.04	645568	CERB_SKIP
sa_csmith_425.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_426.c	oracle	0	0.09	0.09	61228	MATCH
sa_csmith_426.c	lean	0	0.19	0.18	102364	MATCH
sa_csmith_427.c	oracle	124	15.05	15.05	700496	CERB_SKIP
sa_csmith_427.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_428.c	oracle	124	15.04	15.03	658804	CERB_SKIP
sa_csmith_428.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_429.c	oracle	124	15.05	15.05	664612	CERB_SKIP
sa_csmith_429.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_43.c	oracle	124	15.02	15.02	354224	CERB_SKIP
sa_csmith_43.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_430.c	oracle	0	0.04	0.04	47920	MATCH
sa_csmith_430.c	lean	0	0.06	0.06	83336	MATCH
sa_csmith_431.c	oracle	0	0.07	0.06	55664	MATCH
sa_csmith_431.c	lean	0	0.13	0.12	100600	MATCH
sa_csmith_432.c	oracle	124	15.04	15.03	566156	CERB_SKIP
sa_csmith_432.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_433.c	oracle	124	15.04	15.03	587020	CERB_SKIP
sa_csmith_433.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_434.c	oracle	0	0.04	0.04	48532	MATCH
sa_csmith_434.c	lean	0	0.07	0.06	82292	MATCH
sa_csmith_435.c	oracle	0	6.67	6.66	258716	TIMEOUT
sa_csmith_435.c	lean	124	15.00	15.00	184248	TIMEOUT
sa_csmith_436.c	oracle	124	15.05	15.04	608180	CERB_SKIP
sa_csmith_436.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_437.c	oracle	124	15.04	15.04	615656	CERB_SKIP
sa_csmith_437.c	lean	NA	NA	NA	NA	CERB_SKIP
