input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_421.c	oracle	124	15.04	15.03	533488	CERB_SKIP
sa_csmith_421.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_422.c	oracle	0	0.04	0.04	48668	MATCH
sa_csmith_422.c	lean	0	0.07	0.06	80468	MATCH
sa_csmith_423.c	oracle	124	15.04	15.04	606540	CERB_SKIP
sa_csmith_423.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_424.c	oracle	0	0.04	0.04	49252	MATCH
sa_csmith_424.c	lean	0	0.07	0.06	82828	MATCH
sa_csmith_425.c	oracle	124	15.05	15.05	611624	CERB_SKIP
sa_csmith_425.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_426.c	oracle	0	0.09	0.08	62100	MATCH
sa_csmith_426.c	lean	0	0.21	0.21	104052	MATCH
sa_csmith_427.c	oracle	124	15.05	15.04	626740	CERB_SKIP
sa_csmith_427.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_428.c	oracle	124	15.05	15.04	623592	CERB_SKIP
sa_csmith_428.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_429.c	oracle	124	15.05	15.04	636180	CERB_SKIP
sa_csmith_429.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_43.c	oracle	124	15.03	15.01	346404	CERB_SKIP
sa_csmith_43.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_430.c	oracle	0	0.04	0.04	48032	MATCH
sa_csmith_430.c	lean	0	0.07	0.07	81676	MATCH
sa_csmith_431.c	oracle	0	0.07	0.06	56972	MATCH
sa_csmith_431.c	lean	0	0.14	0.13	101332	MATCH
sa_csmith_432.c	oracle	124	15.04	15.03	552840	CERB_SKIP
sa_csmith_432.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_433.c	oracle	124	15.04	15.04	577108	CERB_SKIP
sa_csmith_433.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_434.c	oracle	0	0.04	0.04	48684	MATCH
sa_csmith_434.c	lean	0	0.06	0.06	81324	MATCH
sa_csmith_435.c	oracle	0	6.81	6.80	258964	TIMEOUT
sa_csmith_435.c	lean	124	15.01	15.00	185468	TIMEOUT
sa_csmith_436.c	oracle	124	15.05	15.04	576880	CERB_SKIP
sa_csmith_436.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_437.c	oracle	124	15.04	15.04	585620	CERB_SKIP
sa_csmith_437.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_438.c	oracle	124	15.04	15.04	620848	CERB_SKIP
sa_csmith_438.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_439.c	oracle	0	0.10	0.10	60860	MATCH
sa_csmith_439.c	lean	0	0.24	0.23	100936	MATCH
sa_csmith_44.c	oracle	0	0.05	0.04	52968	MATCH
sa_csmith_44.c	lean	0	0.11	0.10	84400	MATCH
sa_csmith_440.c	oracle	0	0.05	0.04	48828	MATCH
sa_csmith_440.c	lean	0	0.07	0.06	80908	MATCH
sa_csmith_441.c	oracle	0	0.04	0.04	49480	MATCH
sa_csmith_441.c	lean	0	0.07	0.06	82060	MATCH
sa_csmith_442.c	oracle	124	15.05	15.04	625440	CERB_SKIP
sa_csmith_442.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_443.c	oracle	124	15.04	15.04	587236	CERB_SKIP
sa_csmith_443.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_444.c	oracle	0	0.04	0.04	48756	MATCH
sa_csmith_444.c	lean	0	0.07	0.06	81548	MATCH
sa_csmith_445.c	oracle	124	15.05	15.04	604972	CERB_SKIP
sa_csmith_445.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_446.c	oracle	124	15.04	15.04	573100	CERB_SKIP
sa_csmith_446.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_447.c	oracle	0	0.04	0.04	49660	MATCH
sa_csmith_447.c	lean	0	0.07	0.06	81076	MATCH
sa_csmith_448.c	oracle	124	15.05	15.04	615156	CERB_SKIP
sa_csmith_448.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_449.c	oracle	124	15.05	15.04	599476	CERB_SKIP
sa_csmith_449.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_45.c	oracle	0	0.04	0.03	48976	MATCH
sa_csmith_45.c	lean	0	0.07	0.06	82028	MATCH
sa_csmith_450.c	oracle	0	0.10	0.10	68516	MATCH
sa_csmith_450.c	lean	0	0.26	0.25	111944	MATCH
sa_csmith_451.c	oracle	0	0.04	0.04	49232	MATCH
sa_csmith_451.c	lean	0	0.07	0.06	81476	MATCH
sa_csmith_452.c	oracle	0	0.10	0.10	67644	MATCH
sa_csmith_452.c	lean	0	0.24	0.24	110588	MATCH
sa_csmith_453.c	oracle	124	15.04	15.04	560180	CERB_SKIP
sa_csmith_453.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_454.c	oracle	124	15.05	15.04	635104	CERB_SKIP
sa_csmith_454.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_455.c	oracle	124	15.05	15.04	627036	CERB_SKIP
sa_csmith_455.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_456.c	oracle	124	15.05	15.04	621272	CERB_SKIP
sa_csmith_456.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_457.c	oracle	124	15.05	15.04	622796	CERB_SKIP
sa_csmith_457.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_458.c	oracle	124	15.05	15.04	626648	CERB_SKIP
sa_csmith_458.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_459.c	oracle	124	15.04	15.04	568376	CERB_SKIP
sa_csmith_459.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_46.c	oracle	124	15.05	15.04	604888	CERB_SKIP
sa_csmith_46.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_460.c	oracle	0	0.04	0.04	48632	MATCH
sa_csmith_460.c	lean	0	0.07	0.06	82076	MATCH
sa_csmith_461.c	oracle	124	15.05	15.04	631376	CERB_SKIP
sa_csmith_461.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_462.c	oracle	124	15.05	15.04	626616	CERB_SKIP
sa_csmith_462.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_463.c	oracle	124	15.05	15.04	619620	CERB_SKIP
sa_csmith_463.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_464.c	oracle	124	15.05	15.05	633912	CERB_SKIP
sa_csmith_464.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_465.c	oracle	124	15.05	15.04	628244	CERB_SKIP
sa_csmith_465.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_466.c	oracle	124	15.05	15.04	622952	CERB_SKIP
sa_csmith_466.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_467.c	oracle	124	15.05	15.04	649704	CERB_SKIP
sa_csmith_467.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_468.c	oracle	0	0.04	0.04	48800	MATCH
sa_csmith_468.c	lean	0	0.07	0.06	80488	MATCH
sa_csmith_469.c	oracle	0	0.11	0.11	72404	MATCH
sa_csmith_469.c	lean	0	0.25	0.24	117368	MATCH
sa_csmith_47.c	oracle	124	15.05	15.05	646564	CERB_SKIP
sa_csmith_47.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_470.c	oracle	0	0.11	0.11	67032	MATCH
sa_csmith_470.c	lean	0	0.27	0.27	106884	MATCH
sa_csmith_48.c	oracle	124	15.04	15.04	582448	CERB_SKIP
sa_csmith_48.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_49.c	oracle	124	15.04	15.04	576424	CERB_SKIP
sa_csmith_49.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_50.c	oracle	124	15.04	15.04	559484	CERB_SKIP
sa_csmith_50.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_51.c	oracle	0	0.04	0.03	48968	MATCH
