check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
138/242 matching_failure: ci/0229-illegal-enum-construction.error.c (pristine 0.0s, fork 0.0s)
139/242 matching_failure: ci/0230-enum-incomplete.error.c (pristine 0.0s, fork 0.0s)
140/242 matching_failure: ci/0231-tag-redefinition.error.c (pristine 0.0s, fork 0.0s)
141/242 matching_failure: ci/0232-invalid-use-Atomic.error.c (pristine 0.0s, fork 0.0s)
142/242 matching_failure: ci/0233-undeclared-identifier.error.c (pristine 0.0s, fork 0.0s)
143/242 matching_failure: ci/0234-array-static-outside-fun-proto.error.c (pristine 0.0s, fork 0.0s)
144/242 matching_failure: ci/0235-array-static-innermost.error.c (pristine 0.0s, fork 0.0s)
145/242 matching_failure: ci/0236-array-size-zero.error.c (pristine 0.0s, fork 0.0s)
146/242 matching_failure: ci/0237-array-star-illegal-scope.error.c (pristine 0.0s, fork 0.0s)
147/242 matching_failure: ci/0238-storage-class-function-decl.error.c (pristine 0.0s, fork 0.0s)
148/242 matching_failure: ci/0239-parameter-type-void.error.c (pristine 0.0s, fork 0.0s)
149/242 semantic_agreement: ci/0240-incomplete-adust-parameter.undef.c (pristine 0.0s, fork 0.0s)
150/242 matching_failure: ci/0241-fundef-with-params-void-int.error.c (pristine 0.0s, fork 0.0s)
151/242 matching_failure: ci/0242-array-designator-wrong-type.error.c (pristine 0.0s, fork 0.0s)
152/242 matching_failure: ci/0243-array-designator-wrong-size.error.c (pristine 0.0s, fork 0.0s)
153/242 matching_failure: ci/0244-literal-type-array-char.error.c (pristine 0.0s, fork 0.0s)
154/242 semantic_agreement: ci/0245-storage-class-void-param.undef.c (pristine 0.0s, fork 0.0s)
155/242 semantic_agreement: ci/0246-block-scoped-function.undef.c (pristine 0.0s, fork 0.0s)
156/242 matching_failure: ci/0247-illegal-typedef-initializer.error.c (pristine 0.0s, fork 0.0s)
157/242 matching_failure: ci/0248-typedef-redefinition.error.c (pristine 0.0s, fork 0.0s)
158/242 matching_failure: ci/0249-multiple-declaration.error.c (pristine 0.0s, fork 0.0s)
159/242 matching_failure: ci/0250-redefinition-enum-id.error.c (pristine 0.0s, fork 0.0s)
160/242 matching_failure: ci/0251-function-redeclaration.undef.c (pristine 0.0s, fork 0.0s)
161/242 matching_failure: ci/0252-thread-local-redeclaration.error.c (pristine 0.0s, fork 0.0s)
162/242 matching_failure: ci/0253-label-redefinition.error.c (pristine 0.0s, fork 0.0s)
163/242 matching_failure: ci/0254-undeclared-label.error.c (pristine 0.0s, fork 0.0s)
164/242 matching_failure: ci/0255-indirection-wrong-type.error.c (pristine 0.0s, fork 0.0s)
165/242 matching_failure: ci/0256-untypable-constant.error.c (pristine 0.0s, fork 0.0s)
166/242 semantic_agreement: ci/0257-array-incomplete-type.error.c (pristine 0.0s, fork 0.0s)
167/242 difference: ci/0258-array-function-type.error.c (pristine 0.0s, fork 0.0s)
168/242 matching_failure: ci/0259-invalid-return-type.error.c (pristine 0.0s, fork 0.0s)
169/242 matching_failure: ci/0260-pointer-to-restrict.error.c (pristine 0.0s, fork 0.0s)
170/242 matching_failure: ci/0261-restrict-requires-pointer.error.c (pristine 0.0s, fork 0.0s)
171/242 semantic_agreement: ci/0262-parameter-qualified-void.error.c (pristine 0.0s, fork 0.0s)
172/242 matching_failure: ci/0263-parameter-incomplete-type.error.c (pristine 0.0s, fork 0.0s)
173/242 matching_failure: ci/0264-if-expression-scalar.error.c (pristine 0.0s, fork 0.0s)
174/242 matching_failure: ci/0265-loop-expression-not-scalar.error.c (pristine 0.0s, fork 0.0s)
175/242 matching_failure: ci/0266-switch-expression-not-integer.error.c (pristine 0.0s, fork 0.0s)
176/242 matching_failure: ci/0267-invalid-unary-type.error.c (pristine 0.0s, fork 0.0s)
177/242 matching_failure: ci/0268-address-invalid-type.error.c (pristine 0.0s, fork 0.0s)
178/242 matching_failure: ci/0269-register-address.error.c (pristine 0.0s, fork 0.0s)
179/242 difference: ci/0270-invalid-compound-literal.error.c (pristine 0.0s, fork 0.0s)
180/242 matching_failure: ci/0271-assigning-incompatible-types.error.c (pristine 0.0s, fork 0.0s)
181/242 matching_failure: ci/0272-assigning-incompatible-pointer-types.error.c (pristine 0.0s, fork 0.0s)
182/242 matching_failure: ci/0273-assignment-discards-qualifiers.error.c (pristine 0.0s, fork 0.0s)
183/242 matching_failure: ci/0274-conditional-operator-scalar.error.c (pristine 0.0s, fork 0.0s)
184/242 matching_failure: ci/0275-conditional-incompatible-operands.error.c (pristine 0.0s, fork 0.0s)
185/242 matching_failure: ci/0276-calling-function-incomplete-type.error.c (pristine 0.0s, fork 0.0s)
186/242 matching_failure: ci/0277-calling-non-function-identifier.error.c (pristine 0.0s, fork 0.0s)
187/242 matching_failure: ci/0278-assert-scalar-expression.error.c (pristine 0.0s, fork 0.0s)
188/242 matching_failure: ci/0279-memberof-first-operand.error.c (pristine 0.0s, fork 0.0s)
189/242 matching_failure: ci/0280-incompatible-parameters.error.c (pristine 0.0s, fork 0.0s)
190/242 matching_failure: ci/0281-incompatuble-type-return.error.c (pristine 0.0s, fork 0.0s)
191/242 matching_failure: ci/0282-memberof-no-member.error.c (pristine 0.0s, fork 0.0s)
192/242 matching_failure: ci/0283-memberptr-not-a-pointer.error.c (pristine 0.0s, fork 0.0s)
193/242 matching_failure: ci/0284-memberptrof-no-member.error.c (pristine 0.0s, fork 0.0s)
194/242 matching_failure: ci/0285-assignment-not-lvalue.error.c (pristine 0.0s, fork 0.0s)
195/242 matching_failure: ci/0286-binary-operator.error.c (pristine 0.0s, fork 0.0s)
196/242 matching_failure: ci/0287-equality.error.c (pristine 0.0s, fork 0.0s)
197/242 matching_failure: ci/0288-sizeof-function-type.error.c (pristine 0.0s, fork 0.0s)
198/242 matching_failure: ci/0289-sizeof-incomplete-type.error.c (pristine 0.0s, fork 0.0s)
199/242 matching_failure: ci/0290-Alignof-incomplete-type.error.c (pristine 0.0s, fork 0.0s)
200/242 matching_failure: ci/0291-cast-not-scalar-type.error.c (pristine 0.0s, fork 0.0s)
201/242 matching_failure: ci/0292-cast-pointer-to-float.error.c (pristine 0.0s, fork 0.0s)
202/242 matching_failure: ci/0293-compound-assignment.error.c (pristine 0.0s, fork 0.0s)
203/242 semantic_agreement: ci/0294-va_start-arg-type.error.c (pristine 0.0s, fork 0.0s)
204/242 semantic_agreement: ci/0295-global_const_int.undef.c (pristine 0.0s, fork 0.0s)
205/242 semantic_agreement: ci/0296-global_const_array.undef.c (pristine 0.0s, fork 0.0s)
206/242 semantic_agreement: ci/0297-atomic_memberof.undef.c (pristine 0.0s, fork 0.0s)
207/242 semantic_agreement: ci/0298-atomic_memberofptr.undef.c (pristine 0.0s, fork 0.0s)
208/242 semantic_agreement: ci/0299-qualified_ptrdiff.c (pristine 0.0s, fork 0.0s)
209/242 semantic_agreement: ci/0300-unseq_race_ko01.undef.c (pristine 0.0s, fork 0.0s)
210/242 semantic_agreement: ci/0301-unseq_race_ko02.undef.c (pristine 0.0s, fork 0.0s)
211/242 semantic_agreement: ci/0302-unseq_race_ko03.undef.c (pristine 0.0s, fork 0.0s)
212/242 semantic_agreement: ci/0303-unseq_race_ko04.undef.c (pristine 0.0s, fork 0.0s)
213/242 semantic_agreement: ci/0304-unseq_race_ko05.undef.c (pristine 0.0s, fork 0.0s)
214/242 semantic_agreement: ci/0305-unseq_race_ko06.undef.c (pristine 0.0s, fork 0.0s)
215/242 semantic_agreement: ci/0306-unseq_race_ko07.undef.c (pristine 0.0s, fork 0.0s)
216/242 semantic_agreement: ci/0308-struct_global_with_dep.c (pristine 0.0s, fork 0.0s)
217/242 semantic_agreement: ci/0309-comma_void_operand.c (pristine 0.0s, fork 0.0s)
218/242 semantic_agreement: ci/0310-funcall_sequencing.c (pristine 0.0s, fork 0.0s)
219/242 semantic_agreement: ci/0311-unseq_race_ok01.c (pristine 0.0s, fork 0.0s)
220/242 semantic_agreement: ci/0312-unseq_race_ok02.c (pristine 0.0s, fork 0.0s)
221/242 semantic_agreement: ci/0313-unseq_race_ok03.c (pristine 0.0s, fork 0.0s)
222/242 semantic_agreement: ci/0314-nonarray-incomplete-lvalue-conversion.undef.c (pristine 0.0s, fork 0.0s)
223/242 matching_failure: ci/0315-duplicate_member.error.c (pristine 0.0s, fork 0.0s)
224/242 matching_failure: ci/0316-declaration_struct_pointer.error.c (pristine 0.0s, fork 0.0s)
225/242 semantic_agreement: ci/0317-compound-literal-lifetime.c (pristine 0.0s, fork 0.0s)
226/242 matching_failure: ci/0318-compound-interal-in_global.c (pristine 0.0s, fork 0.0s)
227/242 matching_failure: ci/0320-invalid_function_declarators.error.c (pristine 0.0s, fork 0.0s)
228/242 matching_failure: ci/0321-invalid_function_declarators.error.c (pristine 0.0s, fork 0.0s)
229/242 matching_failure: ci/0322-invalid_function_declarators.error.c (pristine 0.0s, fork 0.0s)
230/242 semantic_agreement: ci/0324-atomics.c (pristine 0.0s, fork 0.0s)
231/242 semantic_agreement: ci/0328-indeterminate_block_declaration.c (pristine 0.0s, fork 0.0s)
232/242 semantic_agreement: ci/0329-rvalue-temporary-lifetime.undef.c (pristine 0.0s, fork 0.0s)
233/242 semantic_agreement: ci/0331-modifying-rvalue-temporary-lifetime.undef.c (pristine 0.0s, fork 0.0s)
234/242 semantic_agreement: ci/0332-rvalue-temporary-lifetime-pointer-zap.c (pristine 0.0s, fork 0.0s)
235/242 semantic_agreement: ci/0333-shifts_non_representable.undef.c (pristine 0.0s, fork 0.0s)
236/242 semantic_agreement: ci/0334-non_decimal_long_int_constants.c (pristine 0.0s, fork 0.0s)
237/242 semantic_agreement: ci/0335-non_decimal_unsigned_long_int_constants.c (pristine 0.0s, fork 0.0s)
238/242 semantic_agreement: ci/0337-scalar-init-with_braces.undef.c (pristine 0.0s, fork 0.0s)
239/242 semantic_agreement: ci/0338-cast-pointer-to-_Bool.c (pristine 0.0s, fork 0.0s)
240/242 matching_failure: ci/0339-invalid-string-character.error.c (pristine 0.0s, fork 0.0s)
241/242 semantic_agreement: ci/0340-shl_promotion_to_signed.undef.c (pristine 0.0s, fork 0.0s)
242/242 semantic_agreement: ci/0341-misaligned_pointer_implicit_conversion.undef.c (pristine 0.0s, fork 0.0s)
Independent oracle scope: subset (--only); 242 rows in 137.5s; source unchanged: True
Independent oracle: failed; {'semantic_agreement': 134, 'incomplete': 2, 'matching_failure': 102, 'difference': 4}; /home/dev/projects/cerberus-lean-proj/worktrees/cerberus-lean-arc/pristine-oracle-instrument/.tmp/o1-measure/ci/report.json
