check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
96/855 semantic_agreement: minimal/096-unsigned-mod-zero.undef.c (pristine 0.0s, fork 0.0s)
97/855 reviewed_difference: minimal/097-null-ptr-arith.undef.c (pristine 0.0s, fork 0.0s)
98/855 semantic_agreement: minimal/098-cross-alloc-ptrdiff.undef.c (pristine 0.0s, fork 0.0s)
99/855 semantic_agreement: minimal/099-negative-right-shift.c (pristine 0.0s, fork 0.0s)
100/855 semantic_agreement: minimal/100-int-wrap-unsigned.c (pristine 0.0s, fork 0.0s)
101/855 semantic_agreement: minimal/101-signed-overflow.undef.c (pristine 0.0s, fork 0.0s)
102/855 semantic_agreement: minimal/102-bool-implicit-conv.c (pristine 0.0s, fork 0.0s)
103/855 semantic_agreement: minimal/103-union-store-load.c (pristine 0.0s, fork 0.0s)
104/855 semantic_agreement: minimal/104-unsigned-wrap-arith.c (pristine 0.0s, fork 0.0s)
105/855 semantic_agreement: minimal/105-bitwise-ops.c (pristine 0.0s, fork 0.0s)
106/855 semantic_agreement: minimal/106-sizeof-struct-array.c (pristine 0.0s, fork 0.0s)
107/855 semantic_agreement: minimal/107-sizeof-multibyte-literal.c (pristine 0.0s, fork 0.0s)
108/855 semantic_agreement: minimal/108-sizeof-5byte-multibyte-literal.c (pristine 0.0s, fork 0.0s)
109/855 semantic_agreement: minimal/109-escape-hex-all-bytes.c (pristine 0.0s, fork 0.0s)
110/855 semantic_agreement: minimal/110-escape-octal-all-bytes.c (pristine 0.0s, fork 0.0s)
111/855 semantic_agreement: minimal/111-escape-nul-inside-literal.c (pristine 0.0s, fork 0.0s)
112/855 semantic_agreement: coverage/arith3/arith3-001-unsigned-div.c (pristine 0.0s, fork 0.0s)
113/855 semantic_agreement: coverage/arith3/arith3-002-unsigned-mod.c (pristine 0.0s, fork 0.0s)
114/855 semantic_agreement: coverage/arith3/arith3-003-unsigned-shl.c (pristine 0.0s, fork 0.0s)
115/855 semantic_agreement: coverage/arith3/arith3-004-unsigned-shr.c (pristine 0.0s, fork 0.0s)
116/855 semantic_agreement: coverage/arith3/arith3-005-bool-conv.c (pristine 0.0s, fork 0.0s)
117/855 semantic_agreement: coverage/arith3/arith3-006-wrap-unsigned-char.c (pristine 0.0s, fork 0.0s)
118/855 semantic_agreement: coverage/builtin/builtin-001-ffs.c (pristine 0.0s, fork 0.0s)
119/855 semantic_agreement: coverage/builtin/builtin-002-ctz.c (pristine 0.0s, fork 0.0s)
120/855 semantic_agreement: coverage/builtin/builtin-003-bswap16.c (pristine 0.0s, fork 0.0s)
121/855 semantic_agreement: coverage/builtin/builtin-004-bswap32.c (pristine 0.0s, fork 0.0s)
122/855 semantic_agreement: coverage/builtin/builtin-005-bswap64.c (pristine 0.0s, fork 0.0s)
123/855 semantic_agreement: coverage/builtin/builtin-006-exit.libc.c (pristine 0.0s, fork 0.0s)
124/855 semantic_agreement: coverage/compound/compound-001-add-assign.c (pristine 0.0s, fork 0.0s)
125/855 semantic_agreement: coverage/compound/compound-002-sub-assign.c (pristine 0.0s, fork 0.0s)
126/855 semantic_agreement: coverage/compound/compound-003-mul-assign.c (pristine 0.0s, fork 0.0s)
127/855 semantic_agreement: coverage/compound/compound-004-div-assign.c (pristine 0.0s, fork 0.0s)
128/855 semantic_agreement: coverage/compound/compound-005-mod-assign.c (pristine 0.0s, fork 0.0s)
129/855 semantic_agreement: coverage/compound/compound-006-shl-assign.c (pristine 0.0s, fork 0.0s)
130/855 semantic_agreement: coverage/compound/compound-007-shr-assign.c (pristine 0.0s, fork 0.0s)
131/855 semantic_agreement: coverage/compound/compound-008-and-assign.c (pristine 0.0s, fork 0.0s)
132/855 semantic_agreement: coverage/compound/compound-009-or-assign.c (pristine 0.0s, fork 0.0s)
133/855 semantic_agreement: coverage/compound/compound-010-xor-assign.c (pristine 0.0s, fork 0.0s)
134/855 semantic_agreement: coverage/compound/compound-011-assert-true.libc.c (pristine 0.0s, fork 0.0s)
135/855 semantic_agreement: coverage/compound/compound-012-assert-expr.libc.c (pristine 0.0s, fork 0.0s)
136/855 semantic_agreement: coverage/conv/conv-001-signed-to-unsigned.c (pristine 0.0s, fork 0.0s)
137/855 semantic_agreement: coverage/conv/conv-002-unsigned-to-signed.c (pristine 0.0s, fork 0.0s)
138/855 semantic_agreement: coverage/conv/conv-003-narrow-int.c (pristine 0.0s, fork 0.0s)
139/855 semantic_agreement: coverage/conv/conv-004-widen-char.c (pristine 0.0s, fork 0.0s)
140/855 semantic_agreement: coverage/conv/conv-005-unsigned-char-widen.c (pristine 0.0s, fork 0.0s)
141/855 semantic_agreement: coverage/conv/conv-006-long-to-int.c (pristine 0.0s, fork 0.0s)
142/855 semantic_agreement: coverage/conv/conv-007-int-to-long.c (pristine 0.0s, fork 0.0s)
143/855 semantic_agreement: coverage/conv/conv-008-bool-from-int.c (pristine 0.0s, fork 0.0s)
144/855 semantic_agreement: coverage/conv/conv-009-bool-from-ptr.c (pristine 0.0s, fork 0.0s)
145/855 semantic_agreement: coverage/conv/conv-010-enum-underlying.c (pristine 0.0s, fork 0.0s)
146/855 semantic_agreement: coverage/conv/conv-011-implicit-arith.c (pristine 0.0s, fork 0.0s)
147/855 semantic_agreement: coverage/conv/conv-012-unsigned-overflow.c (pristine 0.0s, fork 0.0s)
148/855 semantic_agreement: coverage/conv/conv-013-signed-overflow.undef.c (pristine 0.0s, fork 0.0s)
149/855 semantic_agreement: coverage/conv/conv-014-cast-chain.c (pristine 0.0s, fork 0.0s)
150/855 semantic_agreement: coverage/conv/conv-015-float-to-int-trunc.c (pristine 0.0s, fork 0.0s)
151/855 semantic_agreement: coverage/conv/conv-016-int-to-float-round.c (pristine 0.0s, fork 0.0s)
152/855 semantic_agreement: coverage/conv/conv-017-double-to-float.c (pristine 0.0s, fork 0.0s)
153/855 semantic_agreement: coverage/conv/conv-018-float-to-unsigned.c (pristine 0.0s, fork 0.0s)
154/855 semantic_agreement: coverage/ctrl/ctrl-001-nested-switch.c (pristine 0.0s, fork 0.0s)
155/855 semantic_agreement: coverage/ctrl/ctrl-002-switch-many-cases.c (pristine 0.0s, fork 0.0s)
156/855 semantic_agreement: coverage/ctrl/ctrl-003-goto-forward.c (pristine 0.0s, fork 0.0s)
157/855 semantic_agreement: coverage/ctrl/ctrl-004-goto-backward.c (pristine 0.0s, fork 0.0s)
158/855 semantic_agreement: coverage/ctrl/ctrl-005-goto-nested.c (pristine 0.0s, fork 0.0s)
159/855 semantic_agreement: coverage/ctrl/ctrl-006-nested-if-deep.c (pristine 0.0s, fork 0.0s)
160/855 semantic_agreement: coverage/ctrl/ctrl-007-loop-break-continue.c (pristine 0.0s, fork 0.0s)
161/855 semantic_agreement: coverage/ctrl/ctrl-008-do-while-zero.c (pristine 0.0s, fork 0.0s)
162/855 semantic_agreement: coverage/ctrl/ctrl-009-for-empty-parts.c (pristine 0.0s, fork 0.0s)
163/855 semantic_agreement: coverage/ctrl/ctrl-010-early-return.c (pristine 0.0s, fork 0.0s)
164/855 semantic_agreement: coverage/ctrl/ctrl-011-nested-scope-vars.c (pristine 0.0s, fork 0.0s)
165/855 semantic_agreement: coverage/ctrl/ctrl-012-multi-decl.c (pristine 0.0s, fork 0.0s)
166/855 semantic_agreement: coverage/ctrl2/ctrl2-001-seqrmw-sseq.c (pristine 0.0s, fork 0.0s)
167/855 semantic_agreement: coverage/ctrl2/ctrl2-002-postinc-complex.c (pristine 0.0s, fork 0.0s)
168/855 semantic_agreement: coverage/ctrl2/ctrl2-003-errno.libc.c (pristine 0.0s, fork 0.0s)
169/855 semantic_agreement: coverage/ctrl3/ctrl3-001-malloc-computed-size.libc.c (pristine 0.0s, fork 0.0s)
170/855 semantic_agreement: coverage/ctrl3/ctrl3-002-null-funcptr-call.c (pristine 0.0s, fork 0.0s)
171/855 semantic_agreement: coverage/ctrl3/ctrl3-003-funcptr-void-cast.c (pristine 0.0s, fork 0.0s)
172/855 semantic_agreement: coverage/ctrl3/ctrl3-004-falloff-nonvoid.c (pristine 0.0s, fork 0.0s)
173/855 semantic_agreement: coverage/ctrl3/ctrl3-005-unseq-neg-pos.c (pristine 0.0s, fork 0.0s)
174/855 semantic_agreement: coverage/dynaddr/dynaddr-001-free-automatic-control.c (pristine 0.0s, fork 0.0s)
175/855 semantic_agreement: coverage/dynaddr/dynaddr-002-malloc0-then-free-automatic.c (pristine 0.0s, fork 0.0s)
176/855 semantic_agreement: coverage/dynaddr/dynaddr-003-malloc0-nonnull.c (pristine 0.0s, fork 0.0s)
177/855 semantic_agreement: coverage/eval2/eval2-001-struct-member-value.c (pristine 0.0s, fork 0.0s)
178/855 semantic_agreement: coverage/eval2/eval2-002-union-member-value.c (pristine 0.0s, fork 0.0s)
179/855 semantic_agreement: coverage/eval2/eval2-003-nested-member-value.c (pristine 0.0s, fork 0.0s)
180/855 semantic_agreement: coverage/eval2/eval2-004-compound-literal-member.c (pristine 0.0s, fork 0.0s)
181/855 semantic_agreement: coverage/eval2/eval2-005-float-compare-eq.c (pristine 0.0s, fork 0.0s)
182/855 semantic_agreement: coverage/eval2/eval2-006-float-compare-lt.c (pristine 0.0s, fork 0.0s)
183/855 semantic_agreement: coverage/eval2/eval2-007-float-compare-le.c (pristine 0.0s, fork 0.0s)
184/855 semantic_agreement: coverage/eval2/eval2-008-float-compare-gt.c (pristine 0.0s, fork 0.0s)
185/855 semantic_agreement: coverage/eval2/eval2-009-float-compare-ge.c (pristine 0.0s, fork 0.0s)
186/855 semantic_agreement: coverage/eval2/eval2-010-float-arith-pure.c (pristine 0.0s, fork 0.0s)
187/855 semantic_agreement: coverage/eval2/eval2-011-float-sub-mul-div.c (pristine 0.0s, fork 0.0s)
188/855 semantic_agreement: coverage/eval2/eval2-012-bool-and-ff.c (pristine 0.0s, fork 0.0s)
189/855 semantic_agreement: coverage/eval2/eval2-013-bool-or-variants.c (pristine 0.0s, fork 0.0s)
190/855 semantic_agreement: coverage/eval2/eval2-014-generic-expr.c (pristine 0.0s, fork 0.0s)
191/855 semantic_agreement: coverage/eval2/eval2-015-generic-types.c (pristine 0.0s, fork 0.0s)
192/855 semantic_agreement: coverage/expr/expr-001-compound-literal.c (pristine 0.0s, fork 0.0s)
193/855 semantic_agreement: coverage/expr/expr-002-designated-init.c (pristine 0.0s, fork 0.0s)
194/855 semantic_agreement: coverage/expr/expr-003-nested-ternary.c (pristine 0.0s, fork 0.0s)
195/855 semantic_agreement: coverage/expr/expr-004-comma-complex.c (pristine 0.0s, fork 0.0s)
196/855 semantic_agreement: coverage/expr/expr-005-sizeof-expr.c (pristine 0.0s, fork 0.0s)
197/855 semantic_agreement: coverage/expr/expr-006-cast-in-expr.c (pristine 0.0s, fork 0.0s)
198/855 matching_failure: coverage/expr/expr-007-bitfield-ops.c (pristine 0.0s, fork 0.0s)
199/855 semantic_agreement: coverage/expr/expr-008-enum-arith.c (pristine 0.0s, fork 0.0s)
200/855 semantic_agreement: coverage/expr/expr-009-negative-shift.c (pristine 0.0s, fork 0.0s)
201/855 semantic_agreement: coverage/expr/expr-010-large-shift.c (pristine 0.0s, fork 0.0s)
202/855 semantic_agreement: coverage/expr/expr-011-sequence-point.c (pristine 0.0s, fork 0.0s)
203/855 semantic_agreement: coverage/expr/expr-012-logical-shortcircuit.c (pristine 0.0s, fork 0.0s)
204/855 semantic_agreement: coverage/io/io-001-printf-basic.libc.c (pristine 0.0s, fork 0.0s)
205/855 semantic_agreement: coverage/io/io-002-printf-int.libc.c (pristine 0.0s, fork 0.0s)
206/855 semantic_agreement: coverage/io/io-003-printf-string.libc.c (pristine 0.0s, fork 0.0s)
207/855 semantic_agreement: coverage/io/io-004-puts.libc.unsupported.c (pristine 0.0s, fork 0.0s)
208/855 semantic_agreement: coverage/io/io-005-printf-multi.libc.c (pristine 0.0s, fork 0.0s)
209/855 semantic_agreement: coverage/libc/libc-001-malloc-free.c (pristine 0.0s, fork 0.0s)
210/855 semantic_agreement: coverage/libc/libc-002-calloc.c (pristine 0.0s, fork 0.0s)
211/855 semantic_agreement: coverage/libc/libc-003-realloc.c (pristine 0.0s, fork 0.0s)
212/855 semantic_agreement: coverage/libc/libc-004-free-null.c (pristine 0.0s, fork 0.0s)
213/855 semantic_agreement: coverage/libc/libc-005-double-free.c (pristine 0.0s, fork 0.0s)
214/855 semantic_agreement: coverage/libc/libc-006-use-after-free.c (pristine 0.0s, fork 0.0s)
215/855 semantic_agreement: coverage/libc/libc-007-free-stack.c (pristine 0.0s, fork 0.0s)
216/855 semantic_agreement: coverage/libc/libc-008-memcpy-basic.c (pristine 0.0s, fork 0.0s)
217/855 semantic_agreement: coverage/libc/libc-009-memcpy-struct.c (pristine 0.0s, fork 0.0s)
218/855 semantic_agreement: coverage/libc/libc-010-memcmp.c (pristine 0.0s, fork 0.0s)
219/855 semantic_agreement: coverage/libc/libc-011-memset.c (pristine 0.0s, fork 0.0s)
220/855 semantic_agreement: coverage/libc/libc-012-strlen.c (pristine 0.0s, fork 0.0s)
221/855 semantic_agreement: coverage/libc/libc-013-malloc-large.c (pristine 0.0s, fork 0.0s)
222/855 semantic_agreement: coverage/libc/libc-014-write-after-free.c (pristine 0.0s, fork 0.0s)
223/855 semantic_agreement: coverage/mem/mem-001-store-load-char.c (pristine 0.0s, fork 0.0s)
224/855 semantic_agreement: coverage/mem/mem-002-store-load-short.c (pristine 0.0s, fork 0.0s)
225/855 semantic_agreement: coverage/mem/mem-003-type-pun-char.c (pristine 0.0s, fork 0.0s)
226/855 semantic_agreement: coverage/mem/mem-004-type-pun-write.c (pristine 0.0s, fork 0.0s)
227/855 semantic_agreement: coverage/mem/mem-005-readonly-const.c (pristine 0.0s, fork 0.0s)
228/855 semantic_agreement: coverage/mem/mem-006-uninitialized-read.c (pristine 0.0s, fork 0.0s)
229/855 matching_failure: coverage/mem/mem-007-zero-size-array.c (pristine 0.0s, fork 0.0s)
230/855 semantic_agreement: coverage/mem/mem-008-large-struct.c (pristine 0.0s, fork 0.0s)
231/855 semantic_agreement: coverage/mem/mem-009-packed-access.c (pristine 0.0s, fork 0.0s)
232/855 semantic_agreement: coverage/mem/mem-010-flexible-array.c (pristine 0.0s, fork 0.0s)
233/855 semantic_agreement: coverage/mem3/mem3-001-bool-load.c (pristine 0.0s, fork 0.0s)
234/855 semantic_agreement: coverage/mem3/mem3-002-bool-trap.c (pristine 0.0s, fork 0.0s)
235/855 semantic_agreement: coverage/mem3/mem3-003-const-compound-literal.c (pristine 0.0s, fork 0.0s)
236/855 semantic_agreement: coverage/mem3/mem3-004-string-write-attempt.c (pristine 0.0s, fork 0.0s)
237/855 semantic_agreement: coverage/mem3/mem3-005-struct-multi-ptr.c (pristine 0.0s, fork 0.0s)
238/855 semantic_agreement: coverage/mem3/mem3-006-array-of-ptrs.c (pristine 0.0s, fork 0.0s)
239/855 semantic_agreement: coverage/mem3/mem3-007-realloc-null.libc.c (pristine 0.0s, fork 0.0s)
240/855 semantic_agreement: coverage/mem3/mem3-008-eff-member-shift.c (pristine 0.0s, fork 0.0s)
241/855 matching_failure: coverage/misc/misc-001-void-ptr-arith.c (pristine 0.0s, fork 0.0s)
242/855 semantic_agreement: coverage/misc/misc-002-offsetof.c (pristine 0.0s, fork 0.0s)
243/855 semantic_agreement: coverage/misc/misc-003-array-of-struct-shift.c (pristine 0.0s, fork 0.0s)
244/855 semantic_agreement: coverage/misc/misc-004-void-return.c (pristine 0.0s, fork 0.0s)
245/855 semantic_agreement: coverage/misc/misc-005-signed-div-mod-shift.c (pristine 0.0s, fork 0.0s)
246/855 semantic_agreement: coverage/misc/misc-006-ptr-compare-true.c (pristine 0.0s, fork 0.0s)
247/855 semantic_agreement: coverage/misc/misc-007-float-compare-branches.c (pristine 0.0s, fork 0.0s)
248/855 semantic_agreement: coverage/misc/misc-008-null-ptr-literal.c (pristine 0.0s, fork 0.0s)
249/855 semantic_agreement: coverage/misc/misc-009-const-global.c (pristine 0.0s, fork 0.0s)
250/855 semantic_agreement: coverage/misc/misc-010-int-min.libc.c (pristine 0.0s, fork 0.0s)
251/855 semantic_agreement: coverage/misc/misc-011-member-shift-ptr.c (pristine 0.0s, fork 0.0s)
252/855 semantic_agreement: coverage/ptr/ptr-001-subtract-same-array.c (pristine 0.0s, fork 0.0s)
253/855 semantic_agreement: coverage/ptr/ptr-002-compare-same-array.c (pristine 0.0s, fork 0.0s)
254/855 semantic_agreement: coverage/ptr/ptr-003-compare-equality.c (pristine 0.0s, fork 0.0s)
255/855 semantic_agreement: coverage/ptr/ptr-004-null-compare.c (pristine 0.0s, fork 0.0s)
256/855 semantic_agreement: coverage/ptr/ptr-005-one-past-end-compare.c (pristine 0.0s, fork 0.0s)
257/855 semantic_agreement: coverage/ptr/ptr-006-void-ptr-cast.c (pristine 0.0s, fork 0.0s)
258/855 semantic_agreement: coverage/ptr/ptr-007-func-ptr-compare.c (pristine 0.0s, fork 0.0s)
259/855 semantic_agreement: coverage/ptr/ptr-008-cross-alloc-compare.c (pristine 0.0s, fork 0.0s)
260/855 semantic_agreement: coverage/ptr/ptr-009-ptr-to-int-roundtrip.c (pristine 0.0s, fork 0.0s)
261/855 semantic_agreement: coverage/ptr/ptr-010-null-ptr-to-int.c (pristine 0.0s, fork 0.0s)
262/855 semantic_agreement: coverage/ptr/ptr-011-array-decay.c (pristine 0.0s, fork 0.0s)
263/855 semantic_agreement: coverage/ptr/ptr-012-multidim-ptr.c (pristine 0.0s, fork 0.0s)
264/855 semantic_agreement: coverage/ptr2/ptr2-001-le-same-array.c (pristine 0.0s, fork 0.0s)
265/855 semantic_agreement: coverage/ptr2/ptr2-002-ge-same-array.c (pristine 0.0s, fork 0.0s)
266/855 semantic_agreement: coverage/ptr2/ptr2-003-gt-same-array.c (pristine 0.0s, fork 0.0s)
267/855 semantic_agreement: coverage/ptr2/ptr2-004-le-equal.c (pristine 0.0s, fork 0.0s)
268/855 semantic_agreement: coverage/ptr2/ptr2-005-ge-equal.c (pristine 0.0s, fork 0.0s)
269/855 semantic_agreement: coverage/ptr2/ptr2-006-eff-array-shift.c (pristine 0.0s, fork 0.0s)
270/855 semantic_agreement: coverage/ptr2/ptr2-007-eff-negative-shift.c (pristine 0.0s, fork 0.0s)
271/855 semantic_agreement: coverage/ptr2/ptr2-008-eff-one-past-end.c (pristine 0.0s, fork 0.0s)
272/855 semantic_agreement: coverage/ptr2/ptr2-009-eff-malloc-shift.libc.c (pristine 0.0s, fork 0.0s)
273/855 semantic_agreement: coverage/ptr2/ptr2-010-eff-zero-shift.c (pristine 0.0s, fork 0.0s)
274/855 semantic_agreement: coverage/ptr2/ptr2-011-funcptr-eq.c (pristine 0.0s, fork 0.0s)
