input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_153.c	lean	0	0.06	0.05	83972	MATCH
sa_csmith_154.c	oracle	0	0.04	0.03	49364	MATCH
sa_csmith_154.c	lean	0	0.06	0.06	83440	MATCH
sa_csmith_155.c	oracle	124	15.04	15.03	654644	CERB_SKIP
sa_csmith_155.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_156.c	oracle	124	15.04	15.04	635468	CERB_SKIP
sa_csmith_156.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_157.c	oracle	124	15.04	15.03	614868	CERB_SKIP
sa_csmith_157.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_158.c	oracle	124	15.03	15.03	506820	CERB_SKIP
sa_csmith_158.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_159.c	oracle	0	0.04	0.03	49332	MATCH
sa_csmith_159.c	lean	0	0.06	0.05	83944	MATCH
sa_csmith_16.c	oracle	124	15.04	15.03	655096	CERB_SKIP
sa_csmith_16.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_160.c	oracle	0	0.04	0.03	48924	MATCH
sa_csmith_160.c	lean	0	0.06	0.06	83276	MATCH
sa_csmith_161.c	oracle	124	15.04	15.03	649492	CERB_SKIP
sa_csmith_161.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_162.c	oracle	0	1.47	1.46	102708	MATCH
sa_csmith_162.c	lean	0	3.94	3.94	121940	MATCH
sa_csmith_163.c	oracle	124	15.05	15.03	642876	CERB_SKIP
sa_csmith_163.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_164.c	oracle	0	0.04	0.03	49488	MATCH
sa_csmith_164.c	lean	0	0.06	0.05	84352	MATCH
sa_csmith_165.c	oracle	124	15.05	15.04	697172	CERB_SKIP
sa_csmith_165.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_166.c	oracle	0	0.04	0.03	49716	MATCH
sa_csmith_166.c	lean	0	0.06	0.05	83660	MATCH
sa_csmith_167.c	oracle	0	0.04	0.03	49752	MATCH
sa_csmith_167.c	lean	0	0.06	0.06	84044	MATCH
sa_csmith_168.c	oracle	0	0.09	0.08	70532	MATCH
sa_csmith_168.c	lean	0	0.19	0.18	114512	MATCH
sa_csmith_169.c	oracle	124	15.05	15.04	643216	CERB_SKIP
sa_csmith_169.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_17.c	oracle	124	15.04	15.04	649916	CERB_SKIP
sa_csmith_17.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_170.c	oracle	0	0.04	0.03	49164	MATCH
sa_csmith_170.c	lean	0	0.06	0.06	84104	MATCH
sa_csmith_171.c	oracle	0	0.04	0.03	49208	MATCH
sa_csmith_171.c	lean	0	0.06	0.05	84220	MATCH
sa_csmith_172.c	oracle	0	0.07	0.06	60344	MATCH
sa_csmith_172.c	lean	0	0.14	0.14	102112	MATCH
sa_csmith_173.c	oracle	0	0.10	0.09	66716	MATCH
sa_csmith_173.c	lean	0	0.22	0.21	107528	MATCH
sa_csmith_174.c	oracle	0	0.34	0.34	63812	MATCH
sa_csmith_174.c	lean	0	1.01	1.01	87732	MATCH
sa_csmith_175.c	oracle	124	15.04	15.04	629136	CERB_SKIP
sa_csmith_175.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_176.c	oracle	0	0.09	0.09	63920	MATCH
sa_csmith_176.c	lean	0	0.19	0.18	105660	MATCH
sa_csmith_177.c	oracle	124	15.03	15.02	416080	CERB_SKIP
sa_csmith_177.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_178.c	oracle	0	0.04	0.03	49520	MATCH
sa_csmith_178.c	lean	0	0.06	0.06	81992	MATCH
sa_csmith_179.c	oracle	124	15.05	15.04	644904	CERB_SKIP
sa_csmith_179.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_18.c	oracle	124	15.05	15.04	662556	CERB_SKIP
sa_csmith_18.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_180.c	oracle	0	0.47	0.47	82308	MATCH
sa_csmith_180.c	lean	0	1.20	1.19	115692	MATCH
sa_csmith_181.c	oracle	124	15.03	15.03	493084	CERB_SKIP
sa_csmith_181.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_182.c	oracle	0	0.38	0.37	79796	MATCH
sa_csmith_182.c	lean	0	0.96	0.95	111520	MATCH
sa_csmith_183.c	oracle	0	0.47	0.46	90752	MATCH
sa_csmith_183.c	lean	0	1.21	1.21	125032	MATCH
sa_csmith_184.c	oracle	124	15.05	15.04	679788	CERB_SKIP
sa_csmith_184.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_185.c	oracle	124	15.04	15.03	521212	CERB_SKIP
sa_csmith_185.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_186.c	oracle	124	15.04	15.03	642304	CERB_SKIP
sa_csmith_186.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_187.c	oracle	124	15.05	15.04	684072	CERB_SKIP
sa_csmith_187.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_188.c	oracle	124	15.04	15.04	648752	CERB_SKIP
sa_csmith_188.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_189.c	oracle	0	0.04	0.04	50560	MATCH
sa_csmith_189.c	lean	0	0.07	0.06	83856	MATCH
sa_csmith_19.c	oracle	0	0.08	0.08	64720	MATCH
sa_csmith_19.c	lean	0	0.17	0.16	105716	MATCH
sa_csmith_190.c	oracle	124	15.05	15.04	666928	CERB_SKIP
sa_csmith_190.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_191.c	oracle	0	0.04	0.03	50060	MATCH
sa_csmith_191.c	lean	0	0.06	0.06	83852	MATCH
sa_csmith_192.c	oracle	0	0.04	0.04	50480	MATCH
sa_csmith_192.c	lean	0	0.07	0.06	85648	MATCH
sa_csmith_193.c	oracle	0	0.04	0.04	49440	MATCH
sa_csmith_193.c	lean	0	0.06	0.06	84064	MATCH
sa_csmith_194.c	oracle	124	15.05	15.04	689544	CERB_SKIP
sa_csmith_194.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_195.c	oracle	0	0.08	0.07	62632	MATCH
sa_csmith_195.c	lean	0	0.18	0.18	104756	MATCH
sa_csmith_196.c	oracle	0	0.04	0.04	50532	MATCH
sa_csmith_196.c	lean	0	0.07	0.06	84040	MATCH
sa_csmith_197.c	oracle	0	5.92	5.92	297892	TIMEOUT
sa_csmith_197.c	lean	124	15.00	15.00	281044	TIMEOUT
sa_csmith_198.c	oracle	0	0.04	0.03	49600	MATCH
sa_csmith_198.c	lean	0	0.06	0.06	84128	MATCH
sa_csmith_199.c	oracle	124	15.04	15.04	633300	CERB_SKIP
sa_csmith_199.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_20.c	oracle	124	15.05	15.03	667572	CERB_SKIP
sa_csmith_20.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_200.c	oracle	124	15.04	15.04	643792	CERB_SKIP
sa_csmith_200.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_201.c	oracle	0	0.04	0.03	49780	MATCH
sa_csmith_201.c	lean	0	0.07	0.06	83280	MATCH
sa_csmith_202.c	oracle	124	15.05	15.04	675388	CERB_SKIP
sa_csmith_202.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_203.c	oracle	124	15.03	15.02	479396	CERB_SKIP
sa_csmith_203.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_204.c	oracle	124	15.05	15.04	653924	CERB_SKIP
